2theta,intensity
18.76,51.395008
18.77,67.54772
18.78,41.116005
18.79,38.17915
18.8,45.521294
18.81,51.395008
18.82,73.42144
18.83,61.674007
18.84,58.737152
18.85,46.98972
18.86,57.268723
18.87,51.395008
18.88,46.98972
18.89,60.20558
18.9,73.42144
18.91,63.142437
18.92,64.61086
18.93,67.54772
18.94,74.88987
18.95,51.395008
18.96,42.584435
18.97,27.900146
18.98,61.674007
18.99,61.674007
19.0,60.20558
19.01,74.88987
19.02,58.737152
19.03,58.737152
19.04,69.01615
19.05,57.268723
19.06,45.521294
19.07,51.395008
19.08,82.23201
19.09,52.863438
19.1,66.07929
19.11,55.800293
19.12,64.61086
19.13,55.800293
19.14,70.48458
19.15,46.98972
19.16,44.052864
19.17,61.674007
19.18,52.863438
19.19,51.395008
19.2,55.800293
19.21,76.3583
19.22,69.01615
19.23,51.395008
19.24,60.20558
19.25,46.98972
19.26,58.737152
19.27,69.01615
19.28,38.17915
19.29,54.331863
19.3,61.674007
19.31,51.395008
19.32,60.20558
19.33,63.142437
19.34,60.20558
19.35,61.674007
19.36,54.331863
19.37,55.800293
19.38,57.268723
19.39,63.142437
19.4,63.142437
19.41,52.863438
19.42,46.98972
19.43,58.737152
19.44,66.07929
19.45,55.800293
19.46,60.20558
19.47,46.98972
19.48,51.395008
19.49,61.674007
19.5,74.88987
19.51,77.82673
19.52,42.584435
19.53,48.45815
19.54,67.54772
19.55,64.61086
19.56,66.07929
19.57,70.48458
19.58,58.737152
19.59,71.95301
19.6,79.29515
19.61,61.674007
19.62,63.142437
19.63,74.88987
19.64,85.16887
19.65,88.10573
19.66,93.97944
19.67,102.790016
19.68,146.84288
19.69,121.879585
19.7,143.90602
19.71,135.09544
19.72,133.62701
19.73,120.41116
19.74,136.56387
19.75,98.38473
19.76,98.38473
19.77,89.57416
19.78,83.70044
19.79,79.29515
19.8,71.95301
19.81,77.82673
19.82,61.674007
19.83,58.737152
19.84,51.395008
19.85,48.45815
19.86,76.3583
19.87,48.45815
19.88,71.95301
19.89,52.863438
19.9,69.01615
19.91,70.48458
19.92,58.737152
19.93,48.45815
19.94,67.54772
19.95,71.95301
19.96,77.82673
19.97,80.76358
19.98,63.142437
